identifier,legacy_identifier,name,birthplace,nationality,gender,locations - invasion,locations - internments,locations - liberation - date,locations - liberation - location,locations - liberation - by,date,recording location,recording languages,recording duration,recording spools,audio - file,audo - mime-type,"credits - who, role",commentary - text,commentary - attribution
nechama-epstein-kozlowski,epsteinN,Nechama Epstein-Kozlowski,"Warsaw, Poland",Poland,female,unknown,"Warsaw Ghetto, Międzyrzec Podlaski Ghetto, Majdanek, Auschwitz, Birkenau, Plaszow, Bergen-Belsen, Aschersleben, Theresienstadt",unknown,"Terezín, Czechoslovakia",Russia,1946-08-31,"Tradate, Italy",Yiddish,01:30:04.082,"9-95, 9-96, 9-104A",epsteinN_9-95_9-96_9-104A_SLP.mp3,audio/mp3,"David P. Boder, Translation","<p>Boder interviewed a number of survivors from the major Polish cities of Lódz and Warsaw. In both, the Jews were placed in large, closed ghettos in 1940. Nechama Epstein-Kozlowski of Warsaw was perhaps the most cheerful and open of the survivors. Evidently the twenty-three-year-old woman had come to terms with the loss of all the other members of her large family. Recently married and visibly pregnant, she eagerly awaited her turn to emigrate to Palestine. </p><p>Her story, one of the most varied, comprises several types of ghettos, slave labor camps, and extermination centers. She begins as Warsaw fell to the Germans in 1939, recalling how Poles pointed her out as a Jew to Germans and threw her out of food lines. But Polish anti-Semitism was not unremitting. Following her jump from a train that she believed was carrying her and hundreds of other Jews to Treblinka, a Polish policeman working for the Germans directed her to a nearby ghetto rather than turn her over to the German patrols, which would have meant being shot on the spot.</p><p>Her escape from the death train was the first of many bold and risky acts to stay alive. Sick in the Auschwitz infirmary, she avoided being selected for the gas chamber by hiding among the Christian patients. Later, at Bergen-Belsen, she courted death by stealing turnips to keep from starving along with the other inmates. She also took chances for others, notably in the case of a stranger’s child who attached herself to Epstein-Kozlowski. Others helped her, particularly the Jewish prisoners of war at Majdanek who stole medicine to help her recover from malaria.</p><p>On the other hand, her story contains little indication of more active resistance to the Germans. The bodies sprawled in the streets as Epstein-Kozlowski entered the Miedzyrzec ghetto suggest that some of the Jews there may have tried to run away when the Germans came to deport them. By then fragmentary information about extermination centers had reached some of the ghettos. But if so, that was the end of defiance. During the period when flight might have been possible, Epstein-Kozlowski tells us that she simply “sat” in the ghetto, hiding from deportations but otherwise passively waiting for something to happen. Nor is there any indication of organized resistance to the ghetto’s Jewish Council or its Jewish police force during the eight months she was there.</p><p>Epstein-Kozlowski also has something to say about the perpetrators. The murderous Christmas eve raid by the SS on the Miedzyrzec ghetto more nearly resembles a perverted game than the dutiful act of reluctant murderers. Moreover, if she was spared from the crematorium at Auschwitz as part of an effort to provide witnesses to “humanitarian” behavior by the Germans, it suggests that already in 1943 at least some SS  doctors were preparing to save themselves from the full force of postwar justice.</p><p>After returning to Poland in 1945, Epstein-Kozlowski joined a kibbutz, married another survivor, and together with her new husband took the underground road through Czechoslovakia and Germany to a cooperative camp near Como, Italy, run by the Hachsharah with the aid of the American Jewish Joint Distribution Committee and UNRRA, which is where she spoke with Boder.</p>
",From FRESH WOUNDS: EARLY NARRATIVES OF HOLOCAUST SURVIVAL by Donald L. Niewyk. Copyright (c) 1998 by the University of North Carolina Press. Used by permission of the publisher. www.uncpress.unc.edu
nelly-bondy,bondyN,Nelly Bondy,"Wien, Austria",Austria,female,"Paris, France","Drancy, Birkenau, Auschwitz, Ravensbrück, Malchow, Taucha",unknown,"Oschatz, Germany","",1946-08-22,"Paris, France",English,01:16:49.332,"9-60, 9-61",bondyN_9-60_9-61_SLP.mp3,audio/mp3,"David P. Boder, Transcription, David P. BoderEben E. English, Footnotes","<p>Sometimes a survivor’s experiences of the camps arouse less interest than the events surrounding them. Nelly Bondy spent two years at Auschwitz and then in Ravensbrück and its satellite camps, but what happened to her during that time was exceptional only in that her knowledge of German and English qualified her for a comparatively protected job in the Political Department of the Auschwitz administration offices. Of that job she has little to say beyond her matter-of-fact report that she learned from the files of the death of her husband, who had been sent there long before her arrival.</p><p>Bondy has more to say about her frantic efforts between 1940 and 1943 to keep her family together and protect her children from the Germans. Born in Vienna around 1915, she had met and married her husband, a Czech Jew living in Paris, in the mid-1930s. When Paris came under German fire in 1940, she bicycled to the south of France to reunite with her husband, then serving in a Czech unit under French command, and her two children. Her husband was arrested in 1941, shortly after the birth of their third child, and she smuggled all three of the children to safety in the unoccupied zone. She was arrested herself in March 1943 and after three months at Drancy was sent to Auschwitz.</p><p>Still more interesting is Bondy’s account of her escape from a Nazi death march at the end of the war. Evacuated from Auschwitz to Ravensbrück and then to a series of work camps south of Berlin, she simply walked away from her camp during an air raid and passed as a German refugee. Fluent in German, she had the wit to exploit the chaos of the collapsing Reich and secure the assistance of Nazi welfare agencies to stay alive in spite of her frostbitten feet. We will never know for certain if escaping saved her life, but it may have done so. SS men sometimes shot their charges at the last moment rather than let them go. In the last days of the war she found herself in a German-held area surrounded by Russian and American forces, encountering little sympathy from the latter when she approached them for help.</p><p>Boder interviewed Bondy in a storage room of one of the Paris offices of the Joint Distribution Committee.</p>
",From FRESH WOUNDS: EARLY NARRATIVES OF HOLOCAUST SURVIVAL by Donald L. Niewyk. Copyright (c) 1998 by the University of North Carolina Press. Used by permission of the publisher. www.uncpress.unc.edu
nino-barzilai,barzilaiN,Nino Barzilai,"Thessaloníki, Greece",Portugal,male,"Athênai, Greece","Haidari, Bergen-Belsen, Börgermoor",unknown,"Börgermoor, Germany",United States,1946-08-04,"Paris, France",Spanish,00:17:29.756,9-21B,barzilaiN_9-21B_SLP.mp3,audio/mp3,"Roberta Hopson, Transcription, Patricia Sanner, Translation, Adriana Barrós ToméAndrea Castro, Reviewer, Elliot Lefkovitz, Footnotes","<p>Nino Barzilai was a Greek Jew born  in 1892 in Salonika, Greece, a thriving center of Sephardic Jewish culture. His family was originally from Portugal. From 1916 to 1936, Mr. Barzilai lived in Spain where he was in the jewelry business. He then returned to Salonika where he worked  selling fabrics for women’s clothing. At the time of the interview, Mr. Barzilai was married with a fifteen year old son. The interview was conducted in Spanish in a home for adult Jews in Paris.</p><p>Following the outbreak of war between Greece and Italy as a result of Italian aggression, Mr. Barzilai and his family fled to Athens. After the German conquest of Greece in April 1941, Athens was in the Italian zone of occupation. Mr. Barzilai was able to obtain Portuguese citizenship (Portugal was a neutral country during World War II) for himself and his family  and continue in the women’s clothing business. The Barzilai family and other Jews in Athens lived under relatively mild Italian rule until Italy capitulated to the Allies in September 1943 and the Germans took over the city.</p><p>Despite having obtained Portuguese citizenship, Mr. Barzilai, along with a number of other Athenian Jewish males, had to endure five and one half months of slave labor under German occupation. Then, in early 1944, he and his family were deported to Bergen-Belsen concentration camp in Germany. They were interned in the so-called “neutral camp”. As the British army approached the camp in March, 1945, the Barzilai’s were evacuated along with others but were liberated by the American army from the deportation train.</p><p>At the time of the interview in a Parisian residence for Jewish refugees, Mr. Barzilai and his family had decided to remain in France. He had found work as an electrician, and his son was being trained in carpentry. He was very grateful for help given to him and his family  that enabled them to begin to rebuild their lives.</p><p>Mr. Barzilai and his family were among the fortunate handful of Greek Jewish survivors. Their survival was based in large measure on the fact that they had obtained Portuguese citizenship and along with others with citizenship from neutral countries were interned in Bergen-Belsen under much better conditions than prisoners elsewhere in the camp. They enjoyed better nourishment and sanitary conditions and were subject to less cruelty. Yet, as testified to by the detailed lists of Greek Jews murdered in the Shoah which Mr. Barzilai gave to Boder, he had not forgotten about the bitter fate of the great majority of his Greek co-religionists.</p>",Elliot Lefkovitz
otto-feuer,feuerO,Otto Feuer,"Wien, Austria",Poland,male,"Hamburg, Germany","Sachsenhausen, Dachau, Buchenwald",1945-04-11,"Weimar, Germany",United States,1946-08-22,"Paris, France",English,01:20:18.181,"9-64, 9-65",feuerO_9-64_9-65_SLP.mp3,audio/mp3,"David P. Boder, Transcription, Elliot Lefkovitz, Footnotes","<p>Otto Feuer was one of the relatively small numbers of Jews who spent twelve years—the entire span of the “Thousand Year Reich”—under Nazi rule and survived. Feuer was born in Vienna, shortly after the start of World War I. His family then moved to Hamburg where he was studying law when the Nazis came to power on January 30, 1933. When the Nazis imposed restrictions on Jews in higher education, he was forced to give up his studies. He supported himself by giving chess lessons, but in October 1938 Feuer and his family, along with other Jews of Polish origin (Feuer’s father had been born in Poland), were expelled from Germany to Poland. This expulsion was the prelude to the infamous Kristallnacht (literally “Crystal night,” also known as the “Night of Broken Glass”) pogrom of November 9th and 10th, 1938: Herschel Grynszpan (the son of one of these displaced Jewish families, who was at the time living in Paris) sought a means to arouse public opinion in the West regarding Nazi crimes against the Jews. He entered the German embassy in Paris on November 9th and murdered Ernst vom Rath, an embassy official. The Nazis used this murder as a pretext to launch the Kristallnacht pogrom.</p><p>In the summer of 1939, Feuer and members of his family received permission to reenter Germany in order to emigrate to the United States. Although his two brothers were able to do so, Feuer was not as fortunate. On September 9th, 1939, just after the outbreak of World War II, he was arrested and spent the next six years in captivity, first in prison and then in Sachsenhausen concentration camp, followed by incarceration in Dachau and finally in Buchenwald from June 1941 until its liberation on April 11, 1945.</p><p>Buchenwald’s original inmates were German criminals who wore a green triangle. Political prisoners who wore a red triangle soon followed. In the bitter competition between the “greens” and the “reds” for control of the prisoner administration of the camp, the “reds” emerged victorious. They then had to wage an unrelenting struggle against their vicious and often corrupt SS overlords. Feuer endured nightmarish, horrific experiences in the camps, some of which he relates. He testifies as well to the moral compromises prisoners had to make to stay alive, the obstacles to resistance in the camps, the depravity of Buchenwald SS physicians, and the exploitation of women in the camp’s brothel.</p><p>One of the most sordid, although until recently unexplored, chapters in the history of the camps was the use of female concentration camp inmates to provide sexual services to non-Jewish male forced laborers who could buy a quarter of an hour with a prostitute from the pittance they were given for their work. Some 300-400 women, most from the Ravensbrück concentration camp, were forced into prostitution in ten camps, including Buchenwald. Most were German women imprisoned for “antisocial” behavior. Feuer’s interview provides pertinent details on the operation of the Buchenwald brothel. The program was devised by Heinrich Himmler as a way to incentivize production for forced laborers and prevent homosexual relations among them. Separate brothels were established in the camps for SS guards. The women who endured sexual slavery in the camps emerged deeply scarred and traumatized by their experiences.</p><p>Despite the obstacles to resistance in Buchenwald, the prisoner underground could claim several successes, some of which are described by Feuer, such as the establishment of a lice control program to ward off the spread of typhus, and saving the lives of some sick prisoners. Just prior to the liberation of Buchenwald on April 11, 1945, the armed underground actually gained control of the camp. When American forces entered the facility, they found some 21,000 prisoners, among them Feuer, and several hundred children who had been saved by the prisoner resistance. Elie Wiesel and Moshe Lau, the future chief Ashkenazic rabbi of Israel, were among the children.</p><p>Feuer’s comments regarding prisoner behavior following the liberation are of significant interest, as are those about the assistance provided to the former inmates by American troops and his encounters with German civilians. Feuer could not bear to remain in Germany after all that he been through. He decided to travel to Paris, where he had some distant relations and wait there until he could entry to the United States, where his two brothers were residing. Since he had been born in Vienna and years earlier had registered for a visa, he was attempting to gain entry to this country under the Austrian quota.</p><p>Feuer is an obviously intelligent and capable individual. Following the liberation of Buchenwald, he was involved in the administration of the camp by its former inmates and served as a guide for Americans who came to visit the camp. He then found work for a time as a journalist and was interviewed by Boder in the Paris office of the American Joint Distribution Committee where he was an executive employee. He emerged from six years of anti-Semitic persecution and horrific experiences in the camps scarred but with his moral sensibilities intact and able to find productive employment and function well in human society. All this, as well as his desire to rebuild his life in America, testify to his life affirmation and the strength and resilience of the human spirit.</p>",Elliot Lefkovitz
pinkhus-rosenfeld,rosenfeldP,Pinkhus Rosenfeld,"Łódź, Poland",Poland,male,unknown,"Lódź Ghetto, Warsaw Ghetto, Auschwitz, Chemnitz",1945-05-07,"",Germany,1946-09-13,"Hénonville, France","Yiddish, German",00:52:56.751,"9-130B, 9-131",rosenfeldP_9-130B_9-131_SLP.mp3,audio/mp3,"David P. Boder, English Translation","<p>Anti-Semitism in depression-era Poland impelled some Jews to leave for healthier homes. Naturally that was always easier for persons of means, and Pinkhus Rosenfeld’s family, owners of a successful textile factory in Łódź, had already purchased a residence in Palestine preparatory to emigration. Hitler intervened.</p><p>With more resources than the average Jewish resident of Łódź, some of Rosenfeld’s family attempted to escape the worst of the occupation by moving to Warsaw, only to find conditions there become as bad as those at home. In the end this divided the family between the two cities. Pinkhus’s parents, brothers, and two daughters, separated from him in Warsaw, disappeared into the machinery of destruction. Pinkhus, his wife, and two sons remained in Łódź until its ghetto was liquidated in August 1944. Although in the interview he took pains to distance himself from the Rumkowski administration, there can be little doubt that it required pull to get and keep the coveted job of food distributor, one of the few ways of getting enough nourishment to stay alive.</p><p>In 1944 Rosenfeld was separated from his wife and two young cousins at Auschwitz and never saw them again. He and his teenage sons, however, managed to stay together, and they were healthy enough to be selected for work in Germany. There they were comparatively well treated. Marched into the Sudetenland as the Reich collapsed, they were simply abandoned by their SS guards and, after the fighting ended, recuperated in Prague. Although they contemplated smuggling themselves into Palestine in 1945, health considerations persuaded them otherwise. When interviewed at the ORT school near Paris in September 1946, the forty-three-year-old Rosenfeld was understandably impatient that he and his sons had not yet been granted entry to Palestine, indignant that his ownership of property there had not opened all doors.</p>
",From FRESH WOUNDS: EARLY NARRATIVES OF HOLOCAUST SURVIVAL by Donald L. Niewyk. Copyright (c) 1998 by the University of North Carolina Press. Used by permission of the publisher. www.uncpress.unc.edu
polia-bisenhaus,bisenhausP,Polia Bisenhaus,"Staszów, Poland",Poland,female,unknown,"Kielce Ghetto, Częstochowa, Bergen-Belsen, Burgau, Türkheim, Dachau",unknown,"Dachau, Germany",United States,1946-07-29,"Paris, France","Yiddish, German",00:25:34.302,9-3B,bisenhausP_9-3B_SLP.mp3,audio/mp3,"Janina Wurbs, Transcription, David P. Boder, Translation, Elliot Lefkovitz, Footnotes","<p>Polia Bisenhaus was born in the southeastern Polish town of Staszów in the Kielce district. Staszów had a prewar Jewish population of approximately 5,000, fully half of the total population. On September 7-8, 1939, one week after the outbreak of World War II, the Germans arrived in Staszów. They appointed a Jewish council and subjected the Jewish population to heavy fines, humiliations, beatings, forced labor, and killings. On June 15, 1942, the Germans sealed the Staszów ghetto, and in June and October 1942 a number of Jews were executed. On November 8, 1942, 6,000 Jews from the ghetto, including a number of Jews who had come to Staszów since the war’s outbreak, were deported to the Belzec and Treblinka extermination centers. The last few hundred Jews from the Staszów ghetto were deported to Treblinka on January 10, 1943.</p><p>Bisenhaus escaped all this because she was working as a forced laborer in a Hassag (privately owned German industrial company that employed slave labor) munitions factory in the city of Kielce. (Kielce would become infamous immediately after the war when elements of the town’s Polish population conducted a pogrom against Jewish Holocaust survivors on July 4, 1946. Forty-two Jews were killed, and fifty more were wounded. This pogrom help spark a mass exodus of survivors from Poland and elsewhere.) While most of her family, including her parents and her two brothers and three sisters did not survive the war, Polia’s forced labor in the militarily vital munitions factory helped insure her survival during the three years she worked there. She continued working in the factory until the winter of 1945 when, as the Red army advanced, she was evacuated to another munitions factory in Częstochowa located southeast of Kielce. As the German retreat continued, Polia was then evacuated to the notorious Bergen-Belsen camp in northern Germany near the town of Celle.</p><p>Bergen-Belsen began in July 1943 as a camp for prisoners whom the Nazis wished to exchange for Germans in allied territory. At first, conditions were better there than those in other camps, but especially towards the end of 1944, there was a marked deterioration. Thousands of inmates were sent to the camp as the Germans retreated in the wake of the Red army’s winter offensive. Most arrived starved and disease-ridden. Conditions in the camp were horrendous and were exacerbated by the winter cold, especially in January and February 1945. Polia tells of the incredibly meager food rations she received, the totally inadequate sanitary facilities, the murderous appells, and the beatings and utter degradation she underwent. All around her inmates were perishing from extreme malnutrition from tuberculosis and dysentery and from a typhus epidemic which raged in the camp. (It was this epidemic that claimed the life of Anne Frank in Belsen in March 1945).</p><p>By the spring of 1945, nearly 20,000 inmates had died. When the British army liberated the camp on April 15, they were shocked and horrified both by the living skeletons they found and by the 10,000 unburied bodies strewn about the camp, which had to be buried in mass graves. The 58,000 mostly Jewish inmates who were still alive were in critical condition. During the two months following liberation, an additional 13,944 perished. Bergen-Belsen became synonymous with man’s inhumanity towards his fellow human beings.</p><p>Several weeks prior to Belsen’s liberation, Polia had been transported on a harrowing train journey south to Bavaria where she was incarcerated in several subcamps of Dachau. She was liberated by the American army on April 29, 1945 in the main camp of Dachau. Like other inmates brought to Dachau at the time, she was a walking skeleton, exhausted and malnourished almost to the point of death.</p><p>Boder recorded this interview on July 29th, 1946 in the ORT school in Paris. Polia was brought to Paris after the war by her aunt and uncle who had been residing there for a number of years. Boder noted that this was only the second interview he had conducted for his project, which contributes to some confusion at the start. He also noted that Polia understandably still seemed to be affected by the sufferings she had endured. She indeed bears testimony to the deep and lasting losses and emotional and psychological scars borne by the victims of the Holocaust. Boder was kind enough to offer to make contact with an uncle whom Polia said she had in Chicago. However, she did not wish to emigrate to the United States but rather, like so many survivors at the time, to make a new life for herself in Palestine.</p>",Elliot Lefkovitz
professor-dimitri-michailovitch-odinets,odinetsD,Professor Dimitri Michailovitch Odinets,"Paris, France",Russia,male,"Paris, France",Royallieu,unknown,unknown,"",1946-10-04,"Paris, France",Russian,00:55:59.738,"9-168, 9-169A",odinetsD_9-168_9-169A_SLP.mp3,audio/mp3,"Olga Collin, Transcription, David P. Boder, English Translation","<p>David Boder was well-acquainted with Professor Dimitri Odinets since he was one of Boder’s instructors at the Psychoneurological Institute in pre-World War I St. Petersburg. Following the February 1917 revolution which toppled the government of the Tsar Nicholas II, Odinets was appointed Minister on All Russian Affairs by the new Provisional government. He was sent to Kiev, the capital city of Ukraine, to combat right-wing Ukrainian nationalist separatism. One can infer from his interview that Professor Odinets was part of the liberal nationalist Russian intelligentsia.</p><p>The communist Bolsheviks—headed by Vladimir Lenin—toppled the Provisional government in October 1917. Soon thereafter, a horribly bitter civil broke out between the communists and their opponents, which lasted until the communist victory in 1921. During this time, Odinets was in the turbulent Ukraine as communist and anti-communist forces clashed in a bloody struggle. </p><p>Odinets made a perilous escape to Romania in 1921 and eventually settled in Paris, where he helped found the Russian People’s University and the Franco-Russian Institute. For a time, he was chairman of the Russian Pedagogical Society in France. When interviewed by Boder, Professor Odinets was working as general secretary of the Russian Academic Union of France and editor of the paper <em>The Soviet Patriot</em>, as well as chairman of the board of the Turgenov library. At the time of the interview on October 4, 1946, Professor Odinets still had hopes of returning to the Soviet Union. This aspiration indicated that his Russian patriotism—which had undoubtedly been strengthened by the Soviet victory in World War II, the “Great Patriotic War,” and longing for his homeland—had overridden his antipathy to communism.</p><p>The bulk of Boder’s interview focuses on Professor Odinets’s experiences in Paris under German occupation. Following the German invasion of the Soviet Union, he was interned by the Nazis due to his Russian origins and failure to cooperate with them. After spending ten months in an interment camp at Compiègne-Royallieu, he was released. He clearly pointed out the differences between German treatment of Jews and non-Jews in the camp, with the former suffering to a greater extent. Upon his release, Professor Odinets supported himself by giving Russian lessons and became engaged in underground work, helping to publish the paper which became <em>The Soviet Patriot</em>.</p><p>Professor Odinets states that while there were some in the Russian colony in Paris who did collaborate with the Germans, most did not, he among them. His testimony in the interview shows him to be courageous and principled individual.</p>",Elliot Lefkovitz
rabbi-isaac-ostland,ostlandI,Rabbi Isaac Ostland,"Labūnava, Lithuania",Lithuania,male,"TelÅiai, Lithuania","",unknown,"","",1946-09-13,"Hénonville, France",Yiddish,00:48:48.561,"9-125B, 9-126A",ostlandI_9-125B_9-126A_SLP.mp3,audio/mp3,"David P. Boder, English Translation",none,none
rabbi-solomon-horowitz,horowitzS,Rabbi Solomon Horowitz,"Zolotyy Potik, Poland",Poland,male,"Zolotyy Potik, Poland",Buczacz Ghetto,unknown,"Chernivtsi, Ukraine",Russia,1946-09-12,"Hénonville, France",Yiddish,00:49:21.241,"9-120, 9-121A",horowitzS_9-120_9-121A_SLP.mp3,audio/mp3,"David P. Boder, English Translation","<p>Jews could sometimes run away from the Germans and live in the forests of eastern Europe, but their chances of survival were slim. Rabbi Solomon Horowitz, the spiritual leader of 1,400 Jews in the Polish town of Potok, led a portion of his flock into the woods. Less than a year later nearly all of them were dead.</p><p>Potok is in Galicia, the easternmost reaches of prewar Poland that fell to the Germans only in June 1941.The thirty-two-year-old Rabbi Horowitz at first attempted to placate the Nazis when they looted his people and removed them to the ghetto in nearby Buczacz. Later he encouraged them to hide from deportations that occurred in October and November 1942 and from the massacres at Fedor Hill in February and March 1943. His story shows once again that the Germans unhesitatingly resorted to mass shooting once the Jews learned about the death camps and began to resist deportations. It also suggests that by then the Germans were treating the existence of death camps as an open secret, in Buczacz at least. On the other hand, the rabbi’s assertion that he personally witnessed the Fedor Hill massacres should, perhaps, not be taken literally. This was a man who was both determined to convince a foreign observer of Nazi atrocities and unused to having his words questioned. That the mass shootings did occur, of course, is not disputed.</p><p>Discovered in their hiding place in Buczacz while trying to aid a family of homeless Jews, Rabbi Horowitz and his elder son slipped away from a large group of prisoners and made it to the forest with several hundred Jews. There they established a “family camp” of men, women, and children of all ages organized for survival rather than partisan action against the Germans. But how could they survive without reliable sources of food and shelter, in constant danger of being discovered by unfriendly peasants, and with only minimal aid from Soviet partisans operating far from their front lines? The rabbi provides a profoundly depressing sketch of the destruction of the camp during the last months of 1943. He and a handful of fellow fugitives lived to experience liberation by the Red Army in March 1944 by bribing a peasant to hide them under his barn. In Warsaw following its liberation, Rabbi Horowitz personally experienced the anti-Semitic climate that made a revival of Jewish Orthodoxy in the Polish capital all but impossible.</p><p class=”footnote”>Boder interviewed the rabbi at the once grand but then run-down chateau at Hénonville near Paris, home of an orthodox kibbutz run jointly by the ORT and the Agudah. Note near the end the rabbi’s expression of Orthodox Jewry’s changed view of Zionism in the wake of the Holocaust.</p>
",From FRESH WOUNDS: EARLY NARRATIVES OF HOLOCAUST SURVIVAL by Donald L. Niewyk. Copyright (c) 1998 by the University of North Carolina Press. Used by permission of the publisher. www.uncpress.unc.edu
rachel-gurmanova,gurmanovaR,Rachel Gurmanova,"Warsaw, Poland",Poland,female,unknown,Warsaw Ghetto,unknown,"Wąsów, Poland",Russia,1946-08-17,"Paris, France","Yiddish, German",01:24:20.258,"9-51, 9-52, 9-53",gurmanovaR_9-51_9-52_9-53_SLP.mp3,audio/mp3,"David P. Boder, English Translation","<p>Rachel Gurmanova was a committed woman of the political left, and that made a world of dfference in determining her fate. She avoided stipulating her politics in the interview, but internal evidence suggests that she was at least close to the Polish Communist party, in which Jews were disproportionately represented. This gave her intimate contacts among non-Jewish Poles in Warsaw, friends who saved her life by spiriting her out of the ghetto on the eve of the 1943 revolt, after which she “passed” as a non-Jew. Previous to that she had avoided deportation by making herself useful to the Warsaw ghetto administration and, indirectly, the Germans. Since 1921 she had been secretary of the Polish ORT, the vocational training organization founded in Russia in 1880. Since the Germans needed skilled Jewish workers, the ORT was one of the few prewar Jewish institutions preserved under German rule. And yet, her position was no absolute shield from deportation as her description of a close call makes plain. Trapped by chance in a public square during a raid, she exploited confusion and a ruse thrown out by a friend to melt into the crowd of onlookers.</p><p>Beyond providing valuable information about the ORT’s work in the ghetto, Gurmanova intelligently comments on several other aspects of ghetto life: the work she was forced to do for the German Trusteeship Office, which collected and organized the movable property of Jews who had been deported or killed; Nazi manipulation of the Jews’ psychological vulnerability; and the courthouse forming part of the ghetto wall in which Jews and non-Jews might still make precarious contacts. She also makes it clear that without official corruption and the money to exploit it, her story would have ended quite differently.</p><p>Rachel Gurmanova exposed her personal grief reluctantly and only after gentle prodding. Apparently she lost most of her family, including her mother and her son; she never mentioned her husband. Unable to begin again in Warsaw after the war, she moved to Łódź and threw herself into rebuilding the ORT. Technically she was not a displaced person. She was visiting Paris as a delegate to a world ORT convention when interviewed in August 1946, and she was clearly determined to return to Poland and reestablish Jewish life there.</p>",From FRESH WOUNDS: EARLY NARRATIVES OF HOLOCAUST SURVIVAL by Donald L. Niewyk. Copyright (c) 1998 by the University of North Carolina Press. Used by permission of the publisher. www.uncpress.unc.edu
raisel-meltzak,meltzakR,Raisel Meltzak,"Busk, Ukraine",Ukraine,female,unknown,"",unknown,"","",1946-09-08,"Bellevue, France","Yiddish, Polish",00:14:27.944,9-119A,meltzakR_9-119A_SLP.mp3,audio/mp3,"David P. Boder, English Translation","<p>Short interviews with orphan charges at the Bellevue home for displaced Jewish orphans funded by French and American Jewish charities (run by Lena Kuechler, another Boder interviewee) grant us something like a child’s eye view of the Holocaust.</p><p>The interview with thirteen-year-old Raisel Meltzak is understandably fragmentary. Boder disagreed with the judgment of supervisory personnel at the home that she was somewhat mentally retarded, believing rather that she was deeply disturbed. He cut the interview short, possibly to save her from further stress, and did not take it up again. Her parents, natives of southeastern Poland, an area of mixed Polish and Ukrainian population, hid their family from the Germans in a bunker, and then in the forests, alternately helped and looted by the local Ukrainians. Her father allowed himself to be persuaded by Jews from his own community that it was safest to return to the ghetto, whereas her mother insisted on chancing fugitive survival for herself and her two children. Raisel was spared having to go into the details of her mother’s death. Judging from the fact that the child spoke better Polish than Yiddish, she may have come through the Holocaust by being taken in by Polish peasants.</p>
",From FRESH WOUNDS: EARLY NARRATIVES OF HOLOCAUST SURVIVAL by Donald L. Niewyk. Copyright (c) 1998 by the University of North Carolina Press. Used by permission of the publisher. www.uncpress.unc.edu
raisel-roset,rosetR,Raisel Roset,"Janów Lubelski, Poland",Poland,female,"Janów Lubelski, Poland",Częstochowa,unknown,"","",1946-07-30,"Paris, France","Yiddish, German",00:17:08.884,9-4A,rosetR_9-4A_SLP.mp3,audio/mp3,"Rivka Schiller, Transcription, David P. Boder, English Translation",none,none
rita-benmayor,benmayorR,Rita Benmayor,unknown,Greece,female,"Thessaloníki, Greece","Auschwitz, Ravensbrück, Retzow, Malchow",unknown,"Malchow, Germany",Russia,1946-08-05,"Paris, France",German,00:25:49.035,9-27,benmayorR_9-27_SLP.mp3,audio/mp3,"Stefan Meuser, Transcription, Stefan Meuser, Translation, Eben E. EnglishElliot LefkovitzStefan Meuser, Footnotes","<p>David Boder conducted this interview with Rita Benmajor on August 5, 1946 in Paris France. It appears that the interview was conducted in German. Ms. Benmajor was born in Salonika Greece, home to the largest Sephardic Jewish community in Europe. She was seventeen years old when, in 1943m she her parents, two brothers and her elder brother’s wife and four children were deported to Auschwitz-Birkenau. Except for Ms. Benmajor and her elder brother, all the rest were murdered.</p><p>Ms. Benmajor worked as a slave laborer in Auschwitz, first doing especially difficult road construction work and then for about a year in a shoe repair detail. In the fall of 1944, Ms. Benmajor was force marched to Ravensbruck, originally established as the only all-female camp in the Third Reich. There she once again had to engage in grueling road construction work. As the front neared, she was again deported, this time to first one and then to a second Ravensbruck sub camp.</p><p>She was finally liberated by the Russians  in the closing days of the war. After a short period of recuperation, she and some two dozen other liberated prisoners walked across Germany  for three weeks until they reached the American zone of occupation. As a result of her acquaintance with two French women, Ms. Benmajor came to Paris where she received help from refugee relief organizations. At the time of the interview Ms. Benmajor was living in a home for adult displaced people and hoping to join her uncles in Hartford Connecticut where she planned to build a new life in this country.</p><p>Ms. Benmajor’s interview illustrates the role that youth, physical robustness, determination and luck played in survival. She came to Auschwitz in her late teenage years, possessed a resilient constitution, a strong will to live and the good fortune to escape extermination, which was the lot of almost all her close relatives. She was one of the handful of Jews from Salonika to survive the Holocaust.</p>",Elliot Lefkovitz
